fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
"Aug 20, 2024",0430065,0466407,0429643,0462050,0462050,236028975
"Aug 19, 2024",0411559,0430117,0410360,0430063,0430063,190572950
"Aug 18, 2024",0410177,0418879,0407623,0411559,0411559,128914865
"Aug 17, 2024",0404095,0410193,0402278,0410177,0410177,107043803
"Aug 16, 2024",0401596,0407432,0393316,0404095,0404095,171040229
"Aug 15, 2024",0423937,0431328,0397523,0401596,0401596,225566435
"Aug 14, 2024",0422273,0425040,0408758,0423937,0423937,173475142
"Aug 13, 2024",0426271,0426456,0411927,0422273,0422273,166497342
"Aug 12, 2024",0403270,0431856,0403206,0426272,0426272,194857724
"Aug 11, 2024",0426029,0437437,0403117,0403271,0403271,146700550
"Aug 10, 2024",0422056,0431183,0419265,0426028,0426028,122547809
"Aug 9, 2024",0431938,0432037,0414960,0422056,0422056,171183448
"Aug 8, 2024",0391611,0432438,0388351,0431937,0431937,222363640
"Aug 7, 2024",0407887,0416521,0389056,0391611,0391611,215089270
"Aug 6, 2024",0385083,0417351,0384821,0407888,0407888,260751287
"Aug 5, 2024",0420978,0423577,0339029,0385085,0385085,865536489
"Aug 4, 2024",0454763,0457414,0411214,0420976,0420976,224864630
"Aug 3, 2024",0467864,0473017,0443555,0454763,0454763,212783490
"Aug 2, 2024",0491840,0493626,0459124,0467864,0467864,260579900
"Aug 1, 2024",0495916,0504245,0466976,0491843,0491843,301893604
"Jul 31, 2024",0505384,0519431,0491998,0495903,0495903,227801802
"Jul 30, 2024",0510856,0524710,0501007,0505381,0505381,194927834
"Jul 29, 2024",0508523,0524375,0508517,0510855,0510855,201666056
"Jul 28, 2024",0517749,0520331,0505617,0508524,0508524,136866239
"Jul 27, 2024",0514796,0523720,0510636,0517752,0517752,170157670
"Jul 26, 2024",0497106,0515062,0497072,0514781,0514781,165423973
"Jul 25, 2024",0517255,0519670,0482271,0497106,0497106,244970268
"Jul 24, 2024",0532834,0539961,0514237,0517254,0517254,193410215
"Jul 23, 2024",0530387,0556417,0522091,0532831,0532831,329765704
"Jul 22, 2024",0548057,0551978,0527890,0530387,0530387,221994140
"Jul 21, 2024",0541832,0549017,0523730,0548044,0548044,203441283
"Jul 20, 2024",0533444,0542353,0528612,0541832,0541832,185958759
"Jul 19, 2024",0516528,0534550,0507612,0533453,0533453,246690579
"Jul 18, 2024",0540118,0551684,0511334,0516545,0516545,314376073
"Jul 17, 2024",0543345,0560728,0540102,0540125,0540125,245083074
"Jul 16, 2024",0549455,0551848,0521340,0543306,0543306,294401551
"Jul 15, 2024",0530879,0549533,0529594,0549474,0549474,248101450
"Jul 14, 2024",0531439,0534908,0518831,0530799,0530799,173257620
"Jul 13, 2024",0507194,0535460,0506152,0531414,0531414,178105252
"Jul 12, 2024",0498163,0509573,0492159,0507168,0507168,164844277
"Jul 11, 2024",0512976,0523889,0497290,0498164,0498164,197820791
"Jul 10, 2024",0500911,0514861,0493791,0512994,0512994,185236898
"Jul 9, 2024",0501618,0507674,0493968,0500918,0500918,212096516
"Jul 8, 2024",0477543,0513533,0461489,0501662,0501662,303449233
"Jul 7, 2024",0506673,0506673,0475955,0477474,0477474,175385143
"Jul 6, 2024",0467743,0508183,0466500,0506688,0506688,175193608
"Jul 5, 2024",0494759,0494759,0430540,0467753,0467753,533995834
"Jul 4, 2024",0530588,0534543,0494609,0494883,0494883,381157784
"Jul 3, 2024",0570647,0572641,0526765,0530613,0530613,318607079
"Jul 2, 2024",0557718,0572922,0555657,0570637,0570637,169715603
"Jul 1, 2024",0559920,0568548,0553687,0557769,0557769,177550094
"Jun 30, 2024",0547004,0564014,0545116,0559997,0559997,157589692
"Jun 29, 2024",0551922,0562098,0546877,0546980,0546980,133548794
"Jun 28, 2024",0566272,0569724,0551893,0551895,0551895,194704855
"Jun 27, 2024",0551218,0570238,0543564,0566258,0566258,192035944
"Jun 26, 2024",0567510,0571132,0547768,0551229,0551229,189116580
"Jun 25, 2024",0561094,0576003,0558333,0567493,0567493,203681208
"Jun 24, 2024",0561274,0565706,0541385,0561067,0561067,313215313
"Jun 23, 2024",0570994,0584091,0559840,0561298,0561298,163112330
"Jun 22, 2024",0568447,0573267,0563207,0571017,0571017,139190687
"Jun 21, 2024",0573412,0581558,0567251,0568451,0568451,216840913
"Jun 20, 2024",0576199,0596213,0568713,0573411,0573411,233563632
"Jun 19, 2024",0557196,0580901,0554763,0576199,0576199,217827372
"Jun 18, 2024",0584214,0586130,0523797,0557190,0557190,499153104
"Jun 17, 2024",0619073,0619784,0577753,0584250,0584250,288659789
"Jun 16, 2024",0617099,0627491,0604958,0619047,0619047,212054601
"Jun 15, 2024",0591234,0617727,0591232,0617112,0617112,186918127
"Jun 14, 2024",0604520,0612157,0574447,0591239,0591239,313473415
"Jun 13, 2024",0644187,0645474,0601434,0604566,0604566,296403464
"Jun 12, 2024",0617543,0650116,0607218,0644126,0644126,334154970
"Jun 11, 2024",0649792,0651072,0612960,0617539,0617539,438483099
"Jun 10, 2024",0655080,0659487,0637005,0649800,0649800,366687512
"Jun 9, 2024",0649870,0656144,0645182,0655077,0655077,274311598
"Jun 8, 2024",0667054,0668795,0643224,0649882,0649882,270248916
"Jun 7, 2024",0725592,0727217,0629664,0667089,0667089,535110156
"Jun 6, 2024",0724675,0739765,0714774,0725595,0725595,315340853
"Jun 5, 2024",0715155,0725963,0708684,0724673,0724673,233784193
